playerid,yearid,stint,teamid,lgid,games,ab,runs,hits,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
abernwo01,1947,1,NY1,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aberscl01,1947,1,CHN,NL,47,140,24,39,6,3,4,20,0,,20,32,,0,0,,5
adamsbo03,1947,1,CIN,NL,81,217,39,59,11,2,4,20,9,,25,23,,4,7,,2
adamsbu01,1947,1,PHI,NL,69,182,21,45,11,1,2,15,2,,26,29,,0,1,,3
adamsdi01,1947,1,PHA,AL,37,89,9,18,2,3,2,11,0,0,2,18,,0,2,,0
albrija01,1947,1,PHI,NL,41,99,9,23,4,0,2,5,1,,10,11,,0,3,,2
andrehu01,1947,1,NY1,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
applilu01,1947,1,CHA,AL,139,503,67,154,29,0,8,49,8,6,64,28,,1,4,,15
ardizru01,1947,1,NYA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auldsle01,1947,1,BOS,AL,3,4,0,1,0,0,0,0,0,0,0,1,,0,0,,0
ayersbi01,1947,1,NY1,NL,13,8,0,2,1,0,0,2,0,,0,3,,0,2,,0
bagbyji02,1947,1,PIT,NL,37,32,3,7,2,0,0,3,0,,0,3,,1,3,,2
bahred01,1947,1,PIT,NL,21,23,0,2,0,0,0,0,0,,0,8,,0,3,,2
bakerfl01,1947,1,CHA,AL,105,371,61,98,12,3,0,22,9,7,66,28,,0,2,,5
bankhda01,1947,1,BRO,NL,6,4,2,1,0,0,1,2,0,,0,1,,1,0,,0
bantaja01,1947,1,BRO,NL,3,2,0,0,0,0,0,0,0,,0,1,,0,0,,0
barnere02,1947,1,BRO,NL,28,27,3,3,1,0,0,3,0,,0,12,,0,0,,1
barrere01,1947,1,BSN,NL,36,72,6,8,5,0,0,4,0,,1,12,,0,7,,3
basined01,1947,1,PIT,NL,56,161,15,32,6,2,4,17,0,,18,27,,0,3,,5
battsma01,1947,1,BOS,AL,7,16,3,8,1,0,1,5,0,0,1,1,,0,0,,0
baumhfr01,1947,1,CIN,NL,151,643,96,182,32,9,5,45,6,,56,53,,1,11,,6
beardge01,1947,1,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beazljo01,1947,1,BSN,NL,9,7,1,0,0,0,0,0,0,,0,5,,0,2,,0
beckehe02,1947,1,CLE,AL,2,2,0,0,0,0,0,0,0,0,0,1,,0,0,,0
beggsjo01,1947,1,CIN,NL,11,11,1,1,0,0,0,2,0,,0,3,,0,1,,0
beggsjo01,1947,2,NY1,NL,32,13,0,1,0,0,0,0,0,,0,4,,0,2,,0
behrmha01,1947,1,BRO,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
behrmha01,1947,2,PIT,NL,10,6,0,0,0,0,0,0,0,,0,2,,0,1,,0
behrmha01,1947,3,BRO,NL,38,26,1,6,1,0,0,1,0,,1,9,,0,4,,0
bentoal01,1947,1,DET,AL,36,39,1,6,1,0,0,2,0,0,0,10,,0,3,,1
berarjo01,1947,1,SLA,AL,90,306,29,80,22,1,1,20,6,5,44,26,,2,5,,9
berrayo01,1947,1,NYA,AL,83,293,41,82,15,3,11,54,0,1,13,12,,0,0,,7
bevenbi01,1947,1,NYA,AL,28,58,2,7,1,0,0,1,0,0,2,31,,0,3,,0
binksge01,1947,1,PHA,AL,104,333,33,86,19,4,2,34,8,2,23,36,,1,6,,6
bithohi01,1947,1,CHA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackdo01,1947,1,CLE,AL,30,66,2,12,2,0,0,8,0,0,1,14,,0,3,,4
blackew01,1947,1,CIN,NL,33,106,5,13,2,0,0,4,0,,1,17,,0,7,,2
blattbu01,1947,1,NY1,NL,55,153,28,40,9,2,0,13,4,,21,19,,0,1,,1
bloodji01,1947,1,PIT,NL,88,316,27,79,9,0,7,48,1,,16,39,,2,1,,9
bockmed01,1947,1,CLE,AL,46,66,8,17,2,2,1,14,0,0,5,17,,0,0,,0
bonhati01,1947,1,PIT,NL,33,45,4,7,1,0,0,4,0,,3,5,,1,6,,2
borowha01,1947,1,CHN,NL,41,56,5,7,3,0,0,6,0,,2,14,,1,0,,1
boudrlo01,1947,1,CLE,AL,150,538,79,165,45,3,4,67,1,0,67,10,,4,14,,9
bradybo01,1947,1,BSN,NL,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,0
bragabo01,1947,1,BRO,NL,25,36,3,7,2,0,0,3,1,,7,3,,0,0,,0
brancra01,1947,1,BRO,NL,43,97,8,12,1,0,0,9,0,,7,34,,0,9,,2
brazlal01,1947,1,SLN,NL,44,64,6,14,1,0,0,5,0,,1,5,,0,3,,0
brechha01,1947,1,SLN,NL,29,83,5,20,2,1,0,8,0,,7,7,,1,4,,2
brisslo01,1947,1,PHA,AL,1,2,0,0,0,0,0,0,0,0,0,1,,0,0,,0
brownbo03,1947,1,NYA,AL,69,150,21,45,6,1,1,18,0,2,21,9,,1,3,,4
brownto02,1947,1,BRO,NL,15,34,3,8,1,0,0,2,0,,1,6,,0,0,,1
brownwa01,1947,1,SLA,AL,19,11,0,0,0,0,0,0,0,0,2,4,,0,0,,0
brownwi02,1947,1,SLA,AL,21,67,4,12,3,0,1,6,2,2,0,7,,0,0,,2
budnimi01,1947,1,NY1,NL,7,4,1,1,0,0,0,0,0,,0,0,,0,0,,0
burkhke01,1947,1,SLN,NL,34,24,1,3,0,0,0,1,0,,0,6,,0,2,,0
butlabi01,1947,1,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byrneto01,1947,1,NYA,AL,4,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0
cabalpu01,1947,1,PHI,NL,2,7,2,1,0,0,0,0,0,,1,0,,0,0,,0
caldwea01,1947,1,CHA,AL,40,7,0,0,0,0,0,0,0,0,0,1,,0,1,,0
camelha01,1947,1,BSN,NL,52,150,10,29,8,1,1,11,0,,18,18,,0,2,,8
candimi01,1947,1,WS1,AL,38,18,2,3,1,0,0,1,0,0,1,3,,0,2,,1
carpebo01,1947,1,NY1,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpebo01,1947,2,CHN,NL,4,1,0,1,0,0,0,0,0,,0,0,,0,0,,0
carysc01,1947,1,WS1,AL,23,13,1,1,0,0,0,1,0,0,2,3,,0,1,,1
casege01,1947,1,WS1,AL,36,80,11,12,1,0,0,2,5,1,8,8,,0,1,,0
caseyhu01,1947,1,BRO,NL,46,18,0,1,0,0,0,1,0,,1,2,,0,2,,0
