playerid,yearid,stint,teamid,lgid,position,games,games_started,innouts,putouts,assists,errors,double_plays,passed_balls,wild_pitches,opp_sbs,opp_cs,zone_rating
abernwo01,1947,1,NY1,NL,P,1,,,0,0,0,0,,,,,
aberscl01,1947,1,CHN,NL,OF,40,,,62,7,6,1,,,,,
adamsbo03,1947,1,CIN,NL,2B,69,,,172,177,12,46,,,,,
adamsbu01,1947,1,PHI,NL,OF,51,,,78,5,4,2,,,,,
adamsdi01,1947,1,PHA,AL,1B,24,,,170,17,1,19,,,,,
adamsdi01,1947,1,PHA,AL,OF,3,,,1,0,0,0,,,,,
albrija01,1947,1,PHI,NL,SS,33,,,48,85,8,15,,,,,
andrehu01,1947,1,NY1,NL,P,7,,,0,2,0,0,,,,,
applilu01,1947,1,CHA,AL,3B,2,,,1,1,0,0,,,,,
applilu01,1947,1,CHA,AL,SS,129,,,232,422,35,86,,,,,
ardizru01,1947,1,NYA,AL,P,1,,,0,1,0,0,,,,,
auldsle01,1947,1,BOS,AL,C,3,,,7,0,0,0,0,,,,
ayersbi01,1947,1,NY1,NL,P,13,,,1,9,1,0,,,,,
bagbyji02,1947,1,PIT,NL,P,37,,,7,28,2,2,,,,,
bahred01,1947,1,PIT,NL,P,19,,,2,12,1,1,,,,,
bakerfl01,1947,1,CHA,AL,2B,1,,,3,2,0,1,,,,,
bakerfl01,1947,1,CHA,AL,3B,101,,,84,253,7,28,,,,,
bakerfl01,1947,1,CHA,AL,SS,1,,,1,3,0,0,,,,,
bankhda01,1947,1,BRO,NL,P,4,,,1,0,0,0,,,,,
bantaja01,1947,1,BRO,NL,P,3,,,0,5,0,1,,,,,
barnere02,1947,1,BRO,NL,P,28,,,1,11,0,4,,,,,
barrere01,1947,1,BSN,NL,P,36,,,17,38,3,2,,,,,
basined01,1947,1,PIT,NL,2B,56,,,116,130,7,34,,,,,
battsma01,1947,1,BOS,AL,C,6,,,15,2,0,1,2,,,,
baumhfr01,1947,1,CIN,NL,OF,150,,,282,18,7,2,,,,,
beardge01,1947,1,CLE,AL,P,1,,,0,0,0,0,,,,,
beazljo01,1947,1,BSN,NL,P,9,,,3,4,0,0,,,,,
beggsjo01,1947,1,CIN,NL,P,11,,,1,9,0,0,,,,,
beggsjo01,1947,2,NY1,NL,P,32,,,5,11,0,0,,,,,
behrmha01,1947,1,BRO,NL,P,2,,,0,1,0,0,,,,,
behrmha01,1947,2,PIT,NL,P,10,,,1,1,2,0,,,,,
behrmha01,1947,3,BRO,NL,P,38,,,1,12,1,0,,,,,
bentoal01,1947,1,DET,AL,P,36,,,6,24,4,1,,,,,
berarjo01,1947,1,SLA,AL,2B,86,,,242,221,11,61,,,,,
berrayo01,1947,1,NYA,AL,C,51,,,259,18,8,5,3,,,,
berrayo01,1947,1,NYA,AL,OF,24,,,48,0,1,0,,,,,
bevenbi01,1947,1,NYA,AL,P,28,,,8,24,0,2,,,,,
binksge01,1947,1,PHA,AL,1B,13,,,82,7,1,4,,,,,
binksge01,1947,1,PHA,AL,OF,75,,,157,8,6,1,,,,,
bithohi01,1947,1,CHA,AL,P,2,,,0,0,0,0,,,,,
blackdo01,1947,1,CLE,AL,P,30,,,15,31,1,2,,,,,
blackew01,1947,1,CIN,NL,P,33,,,10,70,3,2,,,,,
blattbu01,1947,1,NY1,NL,2B,34,,,79,100,10,14,,,,,
blattbu01,1947,1,NY1,NL,3B,11,,,7,6,1,1,,,,,
bloodji01,1947,1,PIT,NL,2B,87,,,222,206,9,56,,,,,
bockmed01,1947,1,CLE,AL,2B,4,,,7,6,1,2,,,,,
bockmed01,1947,1,CLE,AL,3B,12,,,10,25,2,4,,,,,
bockmed01,1947,1,CLE,AL,OF,1,,,5,2,0,2,,,,,
bockmed01,1947,1,CLE,AL,SS,1,,,0,0,0,0,,,,,
bonhati01,1947,1,PIT,NL,P,33,,,7,11,2,1,,,,,
borowha01,1947,1,CHN,NL,P,40,,,7,36,2,2,,,,,
boudrlo01,1947,1,CLE,AL,SS,148,,,305,475,14,120,,,,,
bragabo01,1947,1,BRO,NL,C,21,,,56,5,0,1,0,,,,
brancra01,1947,1,BRO,NL,P,43,,,9,35,3,0,,,,,
brazlal01,1947,1,SLN,NL,P,44,,,4,47,1,1,,,,,
brechha01,1947,1,SLN,NL,P,29,,,11,47,1,0,,,,,
brisslo01,1947,1,PHA,AL,P,1,,,1,1,0,0,,,,,
brownbo03,1947,1,NYA,AL,3B,27,,,21,34,4,3,,,,,
brownbo03,1947,1,NYA,AL,OF,3,,,1,0,0,0,,,,,
brownbo03,1947,1,NYA,AL,SS,11,,,13,20,3,5,,,,,
brownto02,1947,1,BRO,NL,3B,6,,,5,8,0,0,,,,,
brownto02,1947,1,BRO,NL,OF,3,,,4,0,1,0,,,,,
brownto02,1947,1,BRO,NL,SS,1,,,3,7,1,2,,,,,
brownwa01,1947,1,SLA,AL,P,19,,,0,9,0,0,,,,,
