playerid,yearid,stint,teamid,lgid,games,ab,runs,hits,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
adamssp01,1927,1,CHN,NL,146,647,100,189,17,7,0,49,26,,42,26,,0,16,,
adamssp02,1927,1,SLA,AL,88,259,32,69,11,3,0,29,1,8,24,33,,2,9,,
aldrivi01,1927,1,PIT,NL,35,96,5,21,5,0,0,9,0,,1,3,,0,3,,
alexape01,1927,1,SLN,NL,37,94,7,23,3,1,0,6,0,,5,14,,0,3,,
allenet01,1927,1,CIN,NL,111,359,54,106,26,4,2,20,12,,14,23,,2,13,,
applepe01,1927,1,CIN,NL,6,11,1,6,0,0,0,1,0,,0,0,,0,0,,
atkinle01,1927,1,WS1,AL,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,,
attredi01,1927,1,PHI,NL,44,83,17,17,1,1,1,11,1,,14,18,,0,3,,
autrych02,1927,1,CLE,AL,16,43,5,11,4,1,0,7,0,0,0,6,,0,3,,
baeched01,1927,1,PHI,NL,1,2,0,0,0,0,0,0,0,,0,0,,0,0,,
bakerne01,1927,1,PHA,AL,5,6,0,1,0,0,0,2,0,0,0,2,,0,0,,
baldwhe01,1927,1,PHI,NL,6,16,1,5,0,0,0,1,0,,1,2,,0,0,,
ballowi01,1927,1,SLA,AL,21,28,1,1,1,0,0,0,0,0,1,8,,0,1,,
bancrda01,1927,1,BSN,NL,111,375,44,91,13,4,1,31,5,,43,36,,1,8,,
barnach01,1927,1,CHA,AL,18,19,3,3,3,0,0,5,0,0,4,4,,0,1,,
barneje01,1927,1,BRO,NL,18,23,1,5,0,0,0,0,0,,0,3,,0,1,,
barnere01,1927,1,WS1,AL,3,11,5,4,1,0,0,0,0,0,1,3,,0,0,,
barnevi01,1927,1,NY1,NL,35,83,5,9,0,0,0,4,0,,0,29,,0,4,,
barnhcl01,1927,1,PIT,NL,108,360,65,115,23,4,3,54,2,,37,19,,1,21,,
barrebi02,1927,1,CHA,AL,147,556,62,159,35,9,4,83,20,13,52,46,,0,26,,
barrebo01,1927,1,BRO,NL,99,355,29,92,10,2,5,38,1,,14,22,,1,12,,
bartedi01,1927,1,PIT,NL,1,2,0,0,0,0,0,0,0,,2,0,,0,0,,
bassljo01,1927,1,DET,AL,81,200,19,57,7,0,0,24,1,0,45,9,,0,9,,
batesch01,1927,1,PHA,AL,9,38,5,9,2,2,0,2,3,1,3,5,,0,0,,
battlji01,1927,1,CHA,AL,6,8,1,3,0,1,0,0,0,0,0,1,,0,1,,
beallwa01,1927,1,NYA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beckbo01,1927,1,SLA,AL,3,4,0,1,0,0,0,1,0,0,0,0,,0,0,,
beckcl01,1927,1,CHN,NL,117,391,44,101,20,5,2,44,0,,43,37,,0,16,,
beckmji01,1927,1,CIN,NL,4,1,0,0,0,0,0,0,0,,1,1,,0,0,,
