playerid,yearid,stint,teamid,lgid,position,games,games_started,innouts,putouts,assists,errors,double_plays,passed_balls,wild_pitches,opp_sbs,opp_cs,zone_rating
adamssp01,1927,1,CHN,NL,2B,60,,,149,194,2,34,,,,,
adamssp01,1927,1,CHN,NL,3B,53,,,45,107,6,12,,,,,
adamssp01,1927,1,CHN,NL,SS,40,,,82,142,10,23,,,,,
adamssp02,1927,1,SLA,AL,2B,54,,,129,147,15,30,,,,,
adamssp02,1927,1,SLA,AL,3B,28,,,30,43,6,5,,,,,
aldrivi01,1927,1,PIT,NL,P,35,,,5,35,0,2,,,,,
alexape01,1927,1,SLN,NL,P,37,,,8,66,0,1,,,,,
allenet01,1927,1,CIN,NL,OF,98,,,250,6,3,3,,,,,
applepe01,1927,1,CIN,NL,P,6,,,4,8,0,2,,,,,
attredi01,1927,1,PHI,NL,1B,26,,,174,8,2,13,,,,,
autrych02,1927,1,CLE,AL,C,14,,,42,14,4,1,1,,,,
baeched01,1927,1,PHI,NL,P,1,,,0,2,0,0,,,,,
bakerne01,1927,1,PHA,AL,P,5,,,0,5,0,2,,,,,
baldwhe01,1927,1,PHI,NL,3B,2,,,3,1,0,0,,,,,
baldwhe01,1927,1,PHI,NL,SS,3,,,1,5,1,1,,,,,
ballowi01,1927,1,SLA,AL,P,21,,,7,20,2,1,,,,,
bancrda01,1927,1,BSN,NL,3B,1,,,0,0,0,0,,,,,
bancrda01,1927,1,BSN,NL,SS,104,,,275,329,39,66,,,,,
barnach01,1927,1,CHA,AL,P,17,,,2,20,0,0,,,,,
barneje01,1927,1,BRO,NL,P,18,,,1,18,0,0,,,,,
barnere01,1927,1,WS1,AL,OF,3,,,3,1,0,1,,,,,
barnevi01,1927,1,NY1,NL,P,35,,,6,49,4,1,,,,,
barnhcl01,1927,1,PIT,NL,OF,94,,,222,5,5,2,,,,,
barrebi02,1927,1,CHA,AL,OF,147,,,289,22,12,6,,,,,
barrebo01,1927,1,BRO,NL,3B,96,,,76,167,21,12,,,,,
bartedi01,1927,1,PIT,NL,SS,1,,,3,2,0,1,,,,,
bassljo01,1927,1,DET,AL,C,67,,,206,56,7,8,1,,,,
batesch01,1927,1,PHA,AL,OF,9,,,17,1,3,0,,,,,
